"job_id","job_title","salary_year_avg","job_posted_date","copmany_name","skills"
1803208,"Research Engineer - Credit Insight","200000.0","2023-04-07 18:27:55","Trusting Social","sql"
24675,"Staff Research Engineer","177283.0","2023-06-21 22:25:43","ServiceNow","nosql"
24675,"Staff Research Engineer","177283.0","2023-06-21 22:25:43","ServiceNow","azure"
24675,"Staff Research Engineer","177283.0","2023-06-21 22:25:43","ServiceNow","aws"
24675,"Staff Research Engineer","177283.0","2023-06-21 22:25:43","ServiceNow","spark"
24675,"Staff Research Engineer","177283.0","2023-06-21 22:25:43","ServiceNow","hadoop"
1719883,"Data Architect - Sustainability","155000.0","2023-12-21 13:38:35","LyondellBasell","sap"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","147500.0","2023-07-13 18:16:22","Netflix","sql"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","147500.0","2023-07-13 18:16:22","Netflix","python"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","147500.0","2023-07-13 18:16:22","Netflix","scala"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","147500.0","2023-07-13 18:16:22","Netflix","r"
1051496,"Analytics Engineer (L5) - Promotional Media - EMEA","147500.0","2023-07-13 18:16:22","Netflix","go"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","sql"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","python"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","r"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","vba"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","pyspark"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","airflow"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","hadoop"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","excel"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","tableau"
348471,"Data Analyst, Reporting","111202.0","2023-01-02 08:29:05","Adyen","looker"
751459,"Data Analyst","111175.0","2023-07-03 17:14:53","Lely","sql"
751459,"Data Analyst","111175.0","2023-07-03 17:14:53","Lely","pyspark"
